,t0,m0,mw,x,y,z,area,dt,te
102060,2.24138E+12,1.21E+22,8.654876,2637977.333,7116215,-44004.78,40894605601,39.66455078,7.44324E+14
102181,2.24335E+12,2.25E+22,8.834148,2595680.667,6917922,-43652.47333,85940512307,114.3134766,7.32472E+14
102444,2.25059E+12,2.98E+22,8.916069,2671129,7193372.667,-43713.13333,1.10891E+11,169.2016602,1.21E+15
102470,2.25136E+12,1.45E+22,8.707193,2395888.333,6440534,-36366.96333,52834960231,65.08837891,5.31639E+14
102478,2.25156E+12,2.06E+21,8.142584,1733931.333,5415020.333,-25745.58667,10823255296,28.41748047,6.07484E+13
102756,2.25845E+12,1.00E+22,8.600508,2648147.667,7114123,-38486.14667,40188916139,50.66748047,4.53834E+14
102759,2.25845E+12,1.88E+22,8.783111,2656720,6963533,-19885.8,73457212916,111.1674805,6.20185E+14
102793,2.25943E+12,4.55E+21,8.372298,1882156,5462867.667,-12391.79667,19616919562,35.68457031,1.15551E+14
102992,2.26403E+12,1.19E+22,8.649234,2304942.333,6224714,-32273.83,43108588604,58.05859375,4.3623E+14
103096,2.26549E+12,1.24E+22,8.663083,2653039.333,7015551.333,-26064.52667,54415402265,82.62792969,4.06122E+14
103216,2.2669E+12,1.52E+22,8.72127,2521754.667,6674572.667,-32158.92,61374290551,107.7202148,4.55463E+14
103220,2.26692E+12,8.42E+21,8.550046,2722756,7207818.667,-29406.62,33165829543,42.44628906,4.96896E+14
103242,2.26806E+12,4.26E+21,8.353005,1800515,5397886.333,-15700.41,18465321307,30.68261719,1.25417E+14
103254,2.26815E+12,1.84E+21,8.110311,1985752.667,5650271.333,-16485.27,9560534792,33.58789063,5.87959E+13
103463,2.27301E+12,2.01E+22,8.802312,2615971.333,6954629.333,-37417.51333,74715184682,78.90820313,7.4118E+14
103636,2.27649E+12,2.63E+21,8.212866,2682909.333,7187037.667,-37840.61,14014162562,36.37744141,1.45085E+14
103702,2.27739E+12,6.91E+21,8.492892,2573088.333,6678286.333,-15410.08667,28598118604,54.81933594,2.37746E+14
103874,2.27939E+12,4.00E+21,8.334435,2446215.333,6510074.333,-28623.59333,20064640590,43.85058594,1.25423E+14
103958,2.28085E+12,9.46E+21,8.583843,2646583.667,7119080.667,-39909.99667,36872727652,50.26855469,4.33459E+14
103969,2.28103E+12,1.14E+22,8.637586,2610045,6939874,-38427.46667,43152763838,55.37158203,4.51613E+14
104221,2.28587E+12,7.10E+21,8.50074,2185812.667,6009881,-37342.34,27126578399,38.89111328,2.87967E+14
104245,2.28607E+12,1.08E+22,8.623266,2500606.667,6645803.667,-36246.06333,44706432653,79.13232422,3.51705E+14
104271,2.28664E+12,1.29E+22,8.674054,2334941,6321432.333,-41794.99667,43446603014,46.70507813,5.29618E+14
104279,2.28668E+12,3.92E+22,8.995682,1744014.333,5414660.333,-23789.72333,1.06973E+11,119.7817383,9.66951E+14
104310,2.28746E+12,5.01E+21,8.399867,2666399,7166573.333,-39695.96667,22410531691,42.42041016,3.07462E+14
104337,2.28767E+12,1.27E+22,8.669556,2662631.333,7081257.667,-27657.94333,52368133747,91.39208984,4.4665E+14
104478,2.2928E+12,5.04E+21,8.40179,2659054,7124991.333,-34687.72667,23411335860,42.49365234,2.44381E+14
104493,2.29309E+12,7.16E+21,8.503399,2419818,6506830.667,-42406.99667,30526174069,46.25732422,2.37094E+14
104592,2.2946E+12,1.50E+21,8.05129,2624114.667,6984819.667,-37215.22667,10573957065,38.89599609,5.86961E+13
104612,2.29475E+12,1.33E+22,8.682069,2576777.667,6857309,-42430.90333,49792492598,74.82519531,4.69665E+14
104722,2.29791E+12,1.20E+22,8.652575,2684609.333,6971812.667,-13364.30333,44003962773,53.77978516,5.07936E+14
104782,2.29946E+12,2.18E+21,8.158435,2697846,7244385.333,-42016.39,11835431587,36.66455078,1.15624E+14
104946,2.30274E+12,9.11E+21,8.572991,2242369.667,6133076.333,-41370.31667,35880558970,58.95458984,3.1778E+14
104972,2.30324E+12,2.07E+22,8.810542,2595680.667,6917922,-43652.47333,78858999923,116.2519531,6.66108E+14
105058,2.30472E+12,6.31E+21,8.466527,1744014.333,5414660.333,-23789.72333,27079358676,50.52197266,1.82245E+14
105085,2.3054E+12,1.40E+22,8.696599,2670437.667,7181426.667,-41362,50286473884,51.57861328,6.91374E+14
105208,2.30939E+12,7.62E+21,8.52119,2351448.333,6357908.333,-41692.14333,30700260901,39.87255859,2.80325E+14
105382,2.31188E+12,2.32E+22,8.843288,2562589.667,6799557.333,-38772.70333,89384320895,90.90136719,7.65743E+14
105510,2.3151E+12,1.32E+22,8.679714,2671537.667,7164747.333,-37092.73667,41340672084,38.41699219,9.14141E+14
